Couple	Alyssa	Jacky	Justin	Loc	Raquel
203	1	1	1	1	1
215	6	6	4	6	5
217	5	5	6	5	6
220	3	4	5	4	4
231	4	3	2	3	3
234	2	2	3	2	2
