Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
213	1	1	1	2	4
217	5	6	5	5	5
220	6	5	6	6	6
221	3	3	4	4	3
226	4	2	3	1	1
229	2	4	2	3	2
