Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
200	1	2	3	2	1
203	3	4	1	3	3
210	4	1	5	6	4
212	2	6	2	1	2
223	5	5	6	5	5
226	6	3	4	4	6
