Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	2	1	2	2	1
203	8	8	8	8	8
214	6	6	3	6	6
215	3	3	4	3	3
219	1	2	1	1	2
220	4	4	5	4	4
233	5	5	6	5	5
239	7	7	7	7	7
