Couple	Alyssa	Jacky	Justin	Loc	Raquel
200	3	3	3	1	1
210	4	4	4	4	3
212	2	1	2	3	4
223	7	7	7	7	5
226	6	5	5	6	7
229	5	6	6	5	6
241	1	2	1	2	2
