Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	1	2	1	3	1
207	6	5	3	2	4
215	3	3	7	6	6
217	5	6	6	5	5
219	2	1	2	1	2
227	4	4	4	4	3
230	7	7	5	7	7
