Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	6	5	7	7	5
203	5	1	1	2	3
212	2	2	3	5	4
213	1	3	2	1	1
219	3	4	4	3	2
226	7	6	6	4	6
229	4	7	5	6	7
