Couple	Alyssa	Jacky	Justin	Loc	Raquel
213	5	3	2	5	2
220	4	5	5	7	6
221	6	6	6	6	5
226	7	7	4	4	7
229	2	2	3	2	3
234	3	4	7	3	4
241	1	1	1	1	1
