Couple	Alyssa	Jacky	Justin	Loc	Raquel
200	7	5	5	5	2
201	3	2	2	4	1
218	2	6	4	6	5
236	4	3	1	1	6
238	1	1	3	2	3
242	5	7	7	7	4
243	6	4	6	3	7
