Couple	Alyssa	Jacky	Justin	Loc	Raquel
208	5	5	5	5	5
212	7	7	7	7	7
213	2	2	3	3	2
226	4	4	4	4	4
229	3	3	2	2	3
241	1	1	1	1	1
244	6	6	6	6	6
