Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	5	4	7	7	3
203	4	3	2	4	5
212	1	2	3	1	2
213	3	5	1	5	6
219	2	1	6	3	4
226	6	7	4	2	1
229	7	6	5	6	7
