Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
200	3	3	3	6	3
203	2	2	2	2	2
210	4	5	5	5	4
212	1	1	1	1	1
223	5	6	6	3	6
226	6	4	4	4	5
