Couple	Alyssa	Jacky	Justin	Loc	Raquel
203	1	2	1	2	2
209	4	6	7	7	6
210	6	4	5	4	1
212	2	1	2	1	3
213	3	3	3	5	4
226	7	5	4	6	7
229	5	7	6	3	5
