Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	3	2	2	2	2
209	7	3	4	5	3
216	6	7	7	7	8
217	4	4	6	6	4
219	1	1	1	1	1
222	2	5	3	4	6
227	5	6	5	3	5
230	8	8	8	8	7
