Couple	Alyssa	Jacky	Justin	Loc	Raquel
203	4	2	2	4	3
210	2	3	3	2	2
212	1	1	1	1	1
213	5	5	4	6	4
229	6	6	5	3	6
234	3	4	6	5	5
