Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
201	3	2	3	1	2
204	2	3	2	2	3
218	5	6	5	4	4
224	6	4	6	5	6
232	4	5	4	6	5
238	1	1	1	3	1
