Couple	Alyssa	Jacky	Justin	Loc	Raquel
200	5	4	2	1	1
210	2	3	4	6	3
212	3	1	1	2	2
223	6	7	7	7	6
226	7	5	5	4	7
229	4	6	6	5	5
241	1	2	3	3	4
