Couple	Alyssa	Jacky	Justin	Loc	Raquel
200	4	6	3	1	1
210	2	3	2	4	2
212	1	1	1	2	3
223	7	7	7	7	7
226	5	4	6	6	6
229	6	5	5	5	5
241	3	2	4	3	4
