Couple	Alyssa	Jacky	Justin	Loc	Raquel
201	1	2	1	1	1
218	2	1	2	3	2
224	5	5	4	6	5
237	4	4	5	4	6
240	3	6	6	5	3
243	6	3	3	2	4
