Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	3	5	6	7	3
203	7	4	2	3	2
210	2	6	7	5	4
212	6	2	4	1	5
213	1	3	1	4	7
219	4	1	5	2	1
226	5	7	3	6	6
