Couple	Alyssa	Jacky	Justin	Loc	Raquel
217	6	6	7	7	7
220	2	5	5	5	5
221	4	7	4	6	3
226	7	4	3	4	6
229	3	2	2	2	2
234	5	3	6	3	4
241	1	1	1	1	1
