Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
201	1	1	1	1	4
204	4	3	2	3	3
218	5	5	4	4	5
224	6	6	5	6	6
232	3	4	3	5	2
238	2	2	6	2	1
