Couple	Alyssa	Jacky	Justin	Loc	Raquel
203	6	2	3	6	3
210	2	5	5	2	2
212	1	1	1	1	5
213	4	3	2	5	4
226	7	7	6	7	7
229	3	4	4	3	1
234	5	6	7	4	6
