Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
200	1	4	2	3	2
203	3	5	3	2	5
210	5	1	5	4	4
212	2	6	1	1	3
223	6	2	6	6	6
226	4	3	4	5	1
