Couple	Alyssa	Jacky	Jaqueline	Justin	Raquel
202	5	5	7	6	2
203	4	4	2	3	4
212	2	1	3	1	5
213	1	3	1	5	3
219	3	2	6	2	1
226	7	7	5	7	7
229	6	6	4	4	6
