Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
527	5	5	6	6	5	6	5
532	1	1	1	1	1	1	1
540	4	3	5	5	3	3	3
547	6	4	4	3	6	5	4
548	2	2	2	2	4	2	2
558	3	6	3	4	2	4	6
