Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	4	5	4	6	6	6	5
527	5	4	5	4	4	4	2
532	3	2	2	3	2	1	4
536	2	3	3	2	3	3	1
548	1	1	1	1	1	2	3
558	6	6	6	5	5	5	6
