Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	5	3	3	2	7	5	4
526	4	5	5	7	4	7	6
528	2	4	4	4	3	2	2
536	1	1	1	1	1	1	3
546	7	6	8	8	8	6	8
557	8	7	7	5	6	8	7
558	3	8	2	6	2	3	5
564	6	2	6	3	5	4	1
