Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	6	2	3	3	7	4	3
533	4	4	4	6	6	6	5
536	5	3	5	4	3	3	2
538	3	7	7	5	5	5	6
547	2	1	1	1	2	2	1
555	7	6	6	7	4	7	7
558	1	5	2	2	1	1	4
