Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
522	7	4	6	7	7	7	7
526	6	5	4	4	6	5	5
534	3	2	5	5	2	4	1
536	5	3	7	6	3	6	6
547	4	7	3	3	5	2	4
548	2	1	2	2	4	3	2
558	1	6	1	1	1	1	3
