Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
524	4	3	3	3	3	4	4
537	2	4	2	2	2	3	2
539	3	2	4	4	4	2	3
545	5	5	5	5	5	5	5
558	1	1	1	1	1	1	1
