Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
534	6	6	4	6	2	4	2
536	5	3	6	4	4	5	3
538	2	5	5	5	6	6	6
547	3	2	3	1	5	3	5
548	4	1	1	2	3	1	1
558	1	4	2	3	1	2	4
