Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	1	1	1	1	1	1	1
528	3	4	3	3	3	4	4
533	4	3	2	4	2	3	3
534	2	2	4	2	4	2	2
