Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
531	2	2	5	2	5	2	4
532	4	3	1	3	3	3	1
567	3	4	3	4	2	4	3
569	1	1	2	1	1	1	2
570	5	5	4	5	4	5	5
