Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
524	2	2	3	3	2	3	3
537	3	3	2	2	3	4	2
539	4	4	4	4	4	2	4
545	5	5	5	5	5	5	5
558	1	1	1	1	1	1	1
