Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	2	3	1	2	2	2	2
528	5	2	3	3	5	5	6
532	1	1	2	1	1	1	1
533	4	5	5	6	3	3	3
534	3	4	4	5	6	4	4
546	6	6	6	4	4	6	5
