Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	6	5	4	4	5	6	4
534	2	2	2	3	2	2	2
536	1	1	1	1	1	1	1
546	7	3	5	7	4	4	6
558	4	4	6	6	3	5	3
564	3	6	3	2	6	3	5
568	5	7	7	5	7	7	7
