Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	2	1	1	2	3	5	4
528	1	2	2	1	1	1	1
529	6	6	6	6	6	6	6
533	3	5	3	4	4	2	2
537	5	4	4	5	2	4	3
557	4	3	5	3	5	3	5
