Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
531	4	4	4	2	2	4	1
532	3	1	1	5	1	1	3
544	1	3	3	3	4	5	2
566	2	2	2	1	3	2	4
570	5	5	5	4	5	3	5
