Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	5	5	4	6	6	6	5
527	6	4	6	4	4	5	2
532	2	2	1	2	1	2	1
536	3	1	3	1	3	3	3
548	1	3	2	3	2	1	4
558	4	6	5	5	5	4	6
