Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	2	3	5	2	4	4	3
528	3	2	3	1	2	2	1
529	6	5	6	6	6	5	6
533	4	4	2	5	3	6	4
534	1	1	1	4	1	1	2
537	5	6	4	3	5	3	5
