Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
524	3	3	4	3	3	4	3
537	2	2	2	2	2	3	2
539	4	4	3	4	4	2	4
545	5	5	5	1	5	5	5
558	1	1	1	5	1	1	1
