Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	5	3	3	5	4	4	4
528	4	5	5	4	6	6	5
536	2	4	4	3	2	3	1
546	6	6	6	6	5	5	6
547	3	2	2	2	3	2	2
548	1	1	1	1	1	1	3
