Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	4	2	2	2	5	3	2
528	2	5	4	3	6	4	3
529	6	6	5	5	4	5	5
533	3	3	3	4	3	2	4
534	1	1	1	1	1	1	1
557	5	4	6	6	2	6	6
