Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	4	8	4	4	8	8	6
528	3	3	6	7	4	3	2
534	2	2	2	3	1	1	3
536	1	1	5	1	3	2	1
537	6	6	3	8	5	7	7
546	8	4	7	6	6	6	8
558	5	5	1	5	2	4	5
564	7	7	8	2	7	5	4
