Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
526	2	2	2	2	2	2	1
528	3	3	5	5	3	6	4
532	1	1	1	1	1	1	2
533	4	6	4	3	5	3	5
534	5	5	3	4	6	4	3
546	6	4	6	6	4	5	6
