Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
523	4	5	4	5	6	6	5
527	6	4	5	4	4	3	4
532	3	3	2	3	1	4	3
536	2	2	1	2	3	2	2
548	1	1	6	1	2	1	1
558	5	6	3	6	5	5	6
