Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
527	4	5	6	6	7	7	6
532	2	1	1	5	3	1	2
536	6	3	7	7	5	6	4
540	7	6	5	4	2	5	7
547	5	4	4	1	6	4	5
548	3	2	3	2	4	2	1
558	1	7	2	3	1	3	3
