Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
527	6	6	5	6	7	7	6
532	1	2	3	3	1	2	1
536	7	5	7	7	6	6	7
540	4	4	6	5	3	5	4
547	5	3	4	1	5	1	2
548	3	1	2	2	4	3	3
558	2	7	1	4	2	4	5
