Couple	1	1-2	1-3	1-4	1-5	result	average
531	--	4	--	--	--	2	2.0
532	2	2	6	--	--	3	3.0
567	--	1	4	--	--	4	4.0
569	5	--	--	--	--	1	1.0
570	--	--	--	2	7	5	5.0


Results to read
Couple	Place
569	1
531	2
532	3
567	4
570	5
