Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
523	--	1	3	4(12)	--	--	--	--	5	5.0
526	--	--	--	2	4	--	--	--	6	6.0
528	--	3	4(9)	--	--	--	--	--	2	2.0
536	6	--	--	--	--	--	--	--	1	1.0
546	--	--	--	--	--	2	3	7	8	8.0
557	--	--	--	--	1	2	5	--	7	7.0
558	--	2	4(10)	--	--	--	--	--	3	3.0
564	1	2	3	4(10)	--	--	--	--	4	4.0


Results to read
Couple	Place
536	1
528	2
558	3
564	4
523	5
526	6
557	7
546	8
