Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	1	6	--	--	--	--	2	2.0
528	--	1	3	3	6	--	5	5.0
532	6	--	--	--	--	--	1	1.0
533	--	--	3	4	--	--	4	4.0
534	--	--	1	5	--	--	3	3.0
546	--	--	--	2	3	7	6	6.0


Results to read
Couple	Place
532	1
526	2
534	3
533	4
528	5
546	6
