Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	1	7	--	--	--	--	2	2.0
528	--	--	3	4(13)	--	--	3	3.0
532	6	--	--	--	--	--	1	1.0
533	--	--	2	4(14)	6(24)	7(30)	4	4.5
534	--	--	2	4(14)	6(24)	7(30)	4	4.5
546	--	--	--	2	3	7	6	6.0


Results to read
Couple	Place
532	1
526	2
528	3
533	4
534	4
546	6
