Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
531	2	2	4	--	--	--	3	3.0
532	2	5	--	--	--	--	1	1.0
544	--	1	3	6	--	--	4	4.0
548	2	4	--	--	--	--	2	2.0
566	1	1	1	2	7	--	5	5.0
570	--	1	1	2	3	7	6	6.0


Results to read
Couple	Place
532	1
548	2
531	3
544	4
566	5
570	6
