Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
523	--	--	--	--	2	6	--	5	5.0
527	1	1	1	6	--	--	--	4	4.0
532	1	4	--	--	--	--	--	2	2.0
536	--	3	7	--	--	--	--	3	3.0
548	5	--	--	--	--	--	--	1	1.0
558	--	--	--	1	3	5	--	6	6.0
564	--	--	1	1	2	3	7	7	7.0


Results to read
Couple	Place
548	1
532	2
536	3
527	4
523	5
558	6
564	7
