samba
Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
523	--	--	--	1	4	--	6	6.0
527	--	1	1	4	--	--	4	4.0
532	3	7	--	--	--	--	1	1.0
536	2	2	7	--	--	--	3	3.0
548	2	4	--	--	--	--	2	2.0
558	--	--	--	2	5	--	5	5.0


cha
Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
523	--	--	--	2	5	--	5	5.0
527	--	--	1	5	--	--	4	4.0
532	1	2	6	--	--	--	3	3.0
536	1	6	--	--	--	--	2	2.0
548	5	--	--	--	--	--	1	1.0
558	--	--	1	1	4	--	6	6.0


rumba
Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
523	--	--	--	2	4	--	5	5.0
527	--	1	1	5	--	--	4	4.0
532	1	4	--	--	--	--	2	2.0
536	1	3	7	--	--	--	3	3.0
548	5	--	--	--	--	--	1	1.0
558	--	--	--	--	3	7	6	6.0


Couple	samba	cha	rumba	Total	Final Place
523	6.0	5.0	5.0	16.0	5
527	4.0	4.0	4.0	12.0	4
532	1.0	3.0	2.0	6.0	2
536	3.0	2.0	3.0	8.0	3
548	2.0	1.0	1.0	4.0	1
558	5.0	6.0	6.0	17.0	6


Results to Read
548	1
532	2
536	3
527	4
523	5
558	6
