Couple	1	1-2	1-3	1-4	1-5	result	average
524	--	3	7	--	--	2	2.0
537	--	3	6	--	--	3	3.0
539	--	1	1	7	--	4	4.0
545	--	--	--	--	7	5	5.0
558	7	--	--	--	--	1	1.0


Results to read
Couple	Place
558	1
524	2
537	3
539	4
545	5
