Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
522	--	--	--	1	1	2	7	7	7.0
526	--	--	--	2	5	--	--	5	5.0
534	1	3	4	--	--	--	--	3	3.0
536	--	--	2	2	3	6	--	6	6.0
547	--	1	3	5	--	--	--	4	4.0
548	1	5	--	--	--	--	--	2	2.0
558	5	--	--	--	--	--	--	1	1.0


Results to read
Couple	Place
558	1
548	2
534	3
547	4
526	5
536	6
522	7
