Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
531	1	2	4	--	--	--	3	3.0
532	3	4	--	--	--	--	2	2.0
544	--	--	3	6	--	--	4	4.0
548	3	5	--	--	--	--	1	1.0
566	--	1	1	3	5	--	6	6.0
570	--	2	2	3	6	--	5	5.0


Results to read
Couple	Place
548	1
532	2
531	3
544	4
570	5
566	6
