Couple	1	1-2	1-3	1-4	1-5	result	average
531	1	3	3	7	--	4	4.0
532	4	--	--	--	--	1	1.0
544	1	2	5	--	--	3	3.0
566	1	5	--	--	--	2	2.0
570	--	--	1	2	7	5	5.0


Results to read
Couple	Place
532	1
566	2
544	3
531	4
570	5
