Couple	1	1-2	1-3	1-4	result	average
526	7	--	--	--	1	1.0
528	--	--	4	--	4	4.0
533	--	2	5	--	3	3.0
534	--	5	--	--	2	2.0


Results to read
Couple	Place
526	1
534	2
533	3
528	4
