Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	--	4	--	--	--	--	2	2.0
528	--	1	3	5	--	--	4	4.0
529	--	--	--	1	5	--	5	5.0
533	--	1	5	--	--	--	3	3.0
534	7	--	--	--	--	--	1	1.0
557	--	1	1	2	3	7	6	6.0


Results to read
Couple	Place
534	1
526	2
533	3
528	4
529	5
557	6
