Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	2	4	--	--	--	--	2	2.0
528	5	--	--	--	--	--	1	1.0
529	--	--	--	--	--	7	6	6.0
533	--	2	4	--	--	--	3	3.0
537	--	1	2	5	--	--	4	4.0
557	--	--	3	4	--	--	5	5.0


Results to read
Couple	Place
528	1
526	2
533	3
537	4
557	5
529	6
