Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	--	--	2	5	--	--	4	4.0
528	--	--	--	2	5	--	5	5.0
536	1	3	5	--	--	--	3	3.0
546	--	--	--	--	2	7	6	6.0
547	--	5	--	--	--	--	2	2.0
548	6	--	--	--	--	--	1	1.0


Results to read
Couple	Place
548	1
547	2
536	3
526	4
528	5
546	6
